symbol	timestamp	timeframe	open	high	low	close
XAUUSD	2026.01.07 08:00	4H	4454.33	4474.71	4441.57	4463.37
XAUUSD	2026.01.07 12:00	4H	4463.22	4467.91	4427.91	4452.89
XAUUSD	2026.01.07 16:00	4H	4452.89	4468.29	4423.48	4452.01
XAUUSD	2026.01.07 20:00	4H	4452.01	4461.55	4445.42	4456.15
XAUUSD	2026.01.08 00:00	4H	4456.15	4466.37	4441.80	4448.53
XAUUSD	2026.01.08 04:00	4H	4448.53	4449.68	4415.67	4425.50
XAUUSD	2026.01.08 08:00	4H	4425.49	4439.75	4416.01	4432.65
XAUUSD	2026.01.08 12:00	4H	4432.64	4436.03	4407.73	4423.80
XAUUSD	2026.01.08 16:00	4H	4423.80	4465.39	4419.16	4463.37
XAUUSD	2026.01.08 20:00	4H	4463.37	4479.52	4444.65	4477.80
XAUUSD	2026.01.09 00:00	4H	4477.80	4483.92	4452.87	4468.91
XAUUSD	2026.01.09 04:00	4H	4468.90	4476.45	4458.24	4468.04
XAUUSD	2026.01.09 08:00	4H	4468.06	4477.63	4464.05	4471.18
XAUUSD	2026.01.09 12:00	4H	4471.18	4491.90	4458.95	4482.79
XAUUSD	2026.01.09 16:00	4H	4482.79	4517.20	4479.33	4484.47
XAUUSD	2026.01.09 20:00	4H	4484.45	4511.02	4483.04	4509.13
XAUUSD	2026.01.12 00:00	4H	4518.67	4601.17	4512.82	4570.15
XAUUSD	2026.01.12 04:00	4H	4570.15	4584.95	4561.84	4580.84
XAUUSD	2026.01.12 08:00	4H	4580.84	4599.30	4569.79	4589.07
XAUUSD	2026.01.12 12:00	4H	4589.07	4620.32	4578.43	4615.88
XAUUSD	2026.01.12 16:00	4H	4615.88	4630.13	4584.92	4616.38
XAUUSD	2026.01.12 20:00	4H	4616.38	4618.99	4589.12	4597.17
XAUUSD	2026.01.13 00:00	4H	4597.17	4607.74	4575.62	4577.90
XAUUSD	2026.01.13 04:00	4H	4577.90	4602.16	4576.67	4592.01
XAUUSD	2026.01.13 08:00	4H	4592.01	4597.01	4573.56	4586.15
XAUUSD	2026.01.13 12:00	4H	4586.18	4620.93	4577.87	4611.49
XAUUSD	2026.01.13 16:00	4H	4611.49	4634.60	4586.62	4590.38
XAUUSD	2026.01.13 20:00	4H	4590.38	4601.97	4569.58	4586.10
XAUUSD	2026.01.14 00:00	4H	4586.10	4619.88	4586.10	4619.16
XAUUSD	2026.01.14 04:00	4H	4619.17	4639.70	4613.31	4619.80
XAUUSD	2026.01.14 08:00	4H	4619.80	4639.59	4618.50	4630.42
XAUUSD	2026.01.14 12:00	4H	4630.42	4641.92	4624.11	4635.73
XAUUSD	2026.01.14 16:00	4H	4635.75	4638.92	4599.40	4614.28
XAUUSD	2026.01.14 20:00	4H	4614.28	4642.91	4612.81	4626.76
XAUUSD	2026.01.15 00:00	4H	4626.76	4632.53	4583.60	4599.99
XAUUSD	2026.01.15 04:00	4H	4599.99	4614.69	4581.14	4595.32
XAUUSD	2026.01.15 08:00	4H	4595.32	4613.52	4593.68	4612.65
XAUUSD	2026.01.15 12:00	4H	4612.65	4622.94	4582.19	4588.30
XAUUSD	2026.01.15 16:00	4H	4588.30	4624.82	4583.51	4616.52
XAUUSD	2026.01.15 20:00	4H	4616.52	4621.59	4600.69	4615.95
XAUUSD	2026.01.16 00:00	4H	4615.95	4621.04	4593.86	4600.55
XAUUSD	2026.01.16 04:00	4H	4600.55	4616.00	4591.34	4611.63
XAUUSD	2026.01.16 08:00	4H	4611.63	4612.36	4594.11	4600.17
XAUUSD	2026.01.16 12:00	4H	4600.02	4616.11	4582.40	4601.88
XAUUSD	2026.01.16 16:00	4H	4601.88	4620.33	4536.85	4581.48
XAUUSD	2026.01.16 20:00	4H	4581.49	4598.56	4580.04	4596.42
XAUUSD	2026.01.19 00:00	4H	4621.06	4690.69	4621.06	4657.38
XAUUSD	2026.01.19 04:00	4H	4657.39	4674.24	4653.23	4669.91
XAUUSD	2026.01.19 08:00	4H	4669.91	4679.08	4661.81	4668.42
XAUUSD	2026.01.19 12:00	4H	4668.42	4673.81	4659.68	4666.16
XAUUSD	2026.01.19 16:00	4H	4666.16	4678.80	4661.63	4676.26
XAUUSD	2026.01.19 20:00	4H	4676.26	4680.36	4666.97	4670.86
XAUUSD	2026.01.20 00:00	4H	4674.79	4676.99	4659.50	4669.75
XAUUSD	2026.01.20 04:00	4H	4669.75	4716.76	4665.52	4714.59
XAUUSD	2026.01.20 08:00	4H	4714.59	4737.36	4705.66	4732.46
XAUUSD	2026.01.20 12:00	4H	4732.46	4738.27	4715.25	4737.08
XAUUSD	2026.01.20 16:00	4H	4737.07	4762.40	4722.41	4759.25
XAUUSD	2026.01.20 20:00	4H	4759.25	4766.23	4747.47	4763.16
XAUUSD	2026.01.21 00:00	4H	4763.16	4844.13	4757.84	4835.21
XAUUSD	2026.01.21 04:00	4H	4835.30	4878.13	4817.47	4869.91
XAUUSD	2026.01.21 08:00	4H	4869.91	4888.43	4832.58	4865.63
XAUUSD	2026.01.21 12:00	4H	4865.67	4880.34	4855.25	4879.50
XAUUSD	2026.01.21 16:00	4H	4879.50	4880.95	4802.53	4826.28
XAUUSD	2026.01.21 20:00	4H	4826.28	4854.01	4755.93	4832.06
XAUUSD	2026.01.22 00:00	4H	4832.06	4833.82	4772.34	4797.95
XAUUSD	2026.01.22 04:00	4H	4797.95	4821.63	4774.77	4821.33
XAUUSD	2026.01.22 08:00	4H	4821.33	4839.00	4813.97	4823.14
XAUUSD	2026.01.22 12:00	4H	4823.14	4836.39	4810.70	4822.31
XAUUSD	2026.01.22 16:00	4H	4822.31	4906.33	4820.39	4904.52
XAUUSD	2026.01.22 20:00	4H	4904.52	4940.63	4901.36	4935.83
